iteration,0,1,2,3
8470,15172,13198,13176,15531
8480,15077,13244,13275,15481
8490,15248,13123,13089,15617
8500,15303,13203,13243,15328
8510,15252,13271,13076,15478
8520,15186,13265,13102,15524
8530,15209,13265,13207,15396
8540,15190,13215,13288,15384
8550,15231,13148,13289,15409
8560,15176,13172,13337,15392
8570,15262,13218,13214,15383
8580,15249,13172,13102,15554
8590,15058,13201,13298,15520
8600,15137,13278,13339,15323
8610,15249,13270,13127,15431
8620,15257,13117,13171,15532
8630,15162,13375,13176,15364
8640,15098,13161,13389,15429
8650,15098,13125,13308,15546
8660,15152,13225,13321,15379
8670,15056,13167,13341,15513
8680,15204,13109,13277,15487
8690,15216,13267,13236,15358
8700,15156,13163,13315,15443
8710,15196,13195,13222,15464
8720,15204,13259,13099,15515
8730,15134,13153,13423,15367
8740,15184,13252,13182,15459
8750,15358,13107,13133,15479
8760,15139,13193,13345,15400
8770,15147,13244,13319,15367
8780,15219,13106,13264,15488
8790,15278,13136,13343,15320
8800,15173,13115,13240,15549
8810,15145,13242,13235,15455
8820,15048,13228,13286,15515
8830,15201,13185,13139,15552
8840,15312,13122,13191,15452
8850,15202,13309,13049,15517
8860,15053,13283,13305,15436
8870,15228,13118,13252,15479
8880,15158,13172,13397,15350
8890,15178,13101,13353,15445
8900,15111,13291,13214,15461
8910,15227,13176,13232,15442
8920,15215,13140,13171,15551
8930,15337,13243,13142,15355
8940,15284,13201,13201,15391
8950,15181,13102,13373,15421
8960,15188,13235,13248,15406
8970,15167,13160,13251,15499
8980,15200,13193,13231,15453
8990,15205,13180,13382,15310
9000,15017,13150,13386,15524
9010,15096,13139,13373,15469
9020,15127,13109,13279,15562
9030,15150,13398,13174,15355
9040,15161,13238,13221,15457
9050,15068,13302,13286,15421
9060,15190,13203,13240,15444
9070,15194,13317,13131,15435
9080,15071,13168,13390,15448
9090,15290,13156,13293,15338
9100,15192,13208,13272,15405
9110,15147,13264,13167,15499
9120,15116,13266,13195,15500
9130,15063,13127,13284,15603
9140,15134,13171,13264,15508
9150,15090,13168,13352,15467
9160,15254,13153,13106,15564
9170,15303,13157,13186,15431
9180,14966,13247,13416,15448
9190,15122,13285,13167,15503
9200,15153,13209,13185,15530
9210,15273,13157,13160,15487
9220,15115,13187,13418,15357
9230,15262,13141,13210,15464
9240,15185,13243,13178,15471
9250,15226,13129,13179,15543
9260,15262,13063,13278,15474
9270,15250,13333,12992,15502
9280,15127,13164,13196,15590
9290,15199,13221,13102,15555
9300,15267,13226,13201,15383
9310,15156,13216,13184,15521
9320,15174,13222,13311,15370
9330,15239,13290,13216,15332
9340,15319,13117,13237,15404
