iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-MB,aggDist-BDAY,aggDist-BYEAR,aggDist-SEX,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4
2320,1545621569726,406760,-1.303052230e+07,7483,16056,9288,3548,624576,34484,929,11,0
2330,1545621581583,406840,-1.302955615e+07,7771,15874,9110,3277,624848,34281,862,9,0
2340,1545621592854,406929,-1.302861810e+07,7701,15873,9075,3277,624974,34138,876,12,0
2350,1545621604443,406760,-1.303214169e+07,7600,16092,9380,3334,624567,34472,949,12,0
2360,1545621616529,406839,-1.303147317e+07,7515,16019,9503,3385,624515,34562,909,14,0
2370,1545621628086,406789,-1.303004839e+07,7664,15807,9345,3332,624779,34310,895,16,0
2380,1545621639362,406631,-1.303292460e+07,7889,15822,9376,3319,624516,34574,898,12,0
2390,1545621651082,406808,-1.303190729e+07,7734,15874,9360,3431,624562,34487,941,10,0
2400,1545621664304,406649,-1.303271301e+07,7896,15722,9356,3426,624556,34498,936,10,0
2410,1545621676138,406605,-1.303377040e+07,7901,15786,9366,3444,624443,34632,910,15,0
2420,1545621687780,406685,-1.303401764e+07,8099,15694,9216,3413,624498,34593,898,11,0
2430,1545621698951,406600,-1.303613579e+07,8065,15859,9415,3376,624200,34895,895,10,0
2440,1545621710608,406618,-1.303649844e+07,8210,15749,9278,3461,624240,34834,914,12,0
2450,1545621722700,406841,-1.303532944e+07,7988,15786,9338,3623,624232,34810,949,9,0
2460,1545621734508,406683,-1.303446722e+07,7963,15520,9561,3623,624339,34671,975,14,1
2470,1545621746522,406624,-1.303948570e+07,8308,15722,9512,3460,624009,34992,987,12,0
2480,1545621757957,406416,-1.304204722e+07,8319,15842,9715,3492,623668,35308,1012,12,0
2490,1545621770211,406239,-1.304073591e+07,8486,15680,9456,3459,623901,35136,944,19,0
2500,1545621782791,406174,-1.304651143e+07,8579,16241,9433,3463,623345,35604,1041,10,0
2510,1545621795077,406592,-1.303186175e+07,7719,15818,9418,3382,624627,34419,944,10,0
2520,1545621807007,406656,-1.303091041e+07,7690,15912,9424,3233,624707,34339,942,12,0
2530,1545621817789,406571,-1.303822429e+07,7993,16149,9479,3382,624011,34990,984,15,0
2540,1545621830002,406438,-1.303595233e+07,8095,15860,9355,3324,624340,34700,946,14,0
2550,1545621840760,406289,-1.303711532e+07,7967,16110,9411,3399,624042,35039,909,10,0
2560,1545621853278,406358,-1.304128239e+07,8126,16184,9533,3437,623736,35261,990,13,0
2570,1545621865358,406341,-1.303596905e+07,7993,15836,9495,3455,624197,34836,958,9,0
2580,1545621877203,406655,-1.303521346e+07,8016,15620,9631,3373,624356,34668,956,20,0
2590,1545621889193,406816,-1.303033593e+07,7758,15466,9656,3308,624707,34407,877,9,0
2600,1545621902435,406687,-1.303574245e+07,8092,15725,9550,3320,624266,34797,921,16,0
2610,1545621914384,406506,-1.303819190e+07,8400,15542,9521,3377,624129,34913,947,11,0
2620,1545621926066,406667,-1.303557444e+07,8299,15435,9473,3404,624345,34712,930,13,0
2630,1545621938223,406647,-1.303642824e+07,8422,15255,9538,3447,624337,34672,983,8,0
2640,1545621949675,406481,-1.303792532e+07,8485,15556,9411,3235,624259,34804,928,9,0
2650,1545621961564,406447,-1.304011516e+07,8299,16072,9313,3398,623885,35157,949,9,0
2660,1545621973713,406644,-1.303359576e+07,7997,15772,9344,3295,624560,34484,944,12,0
2670,1545621985860,406439,-1.303961641e+07,8132,16012,9504,3471,623886,35123,977,14,0
2680,1545621998243,406602,-1.303425465e+07,8082,15737,9280,3410,624458,34592,933,17,0
2690,1545622010144,406415,-1.303549541e+07,7998,15889,9465,3199,624396,34668,925,11,0
2700,1545622022807,406313,-1.303557163e+07,8132,15890,9212,3368,624384,34639,968,9,0
2710,1545622034767,406460,-1.303761360e+07,8430,15587,9255,3476,624257,34748,985,10,0
2720,1545622046779,406541,-1.303684517e+07,8164,15761,9411,3474,624177,34843,973,7,0
2730,1545622058860,406717,-1.303532734e+07,8065,15755,9383,3453,624309,34736,945,10,0
2740,1545622070074,406497,-1.303815121e+07,8342,15796,9273,3416,624148,34890,949,13,0
2750,1545622082200,406640,-1.303345844e+07,7780,15725,9532,3562,624348,34711,935,6,0
2760,1545622093743,406560,-1.303531674e+07,7704,16047,9640,3415,624155,34899,931,15,0
2770,1545622105713,406503,-1.303615037e+07,7906,16078,9314,3508,624235,34733,1023,9,0
2780,1545622117474,406369,-1.303669203e+07,7831,16309,9293,3424,624150,34854,985,11,0
2790,1545622129409,406425,-1.303714106e+07,7960,16139,9374,3369,624126,34919,942,13,0
2800,1545622141566,406595,-1.303278669e+07,7890,15953,9140,3389,624554,34532,902,12,0
2810,1545622153307,406412,-1.303615628e+07,7809,16209,9425,3316,624202,34849,937,12,0
2820,1545622165413,406519,-1.303493868e+07,7670,16252,9366,3444,624259,34764,963,14,0
2830,1545622176482,406461,-1.303485768e+07,7725,16364,9231,3339,624295,34767,922,16,0
2840,1545622188706,406413,-1.303528179e+07,7619,16488,9284,3431,624134,34921,934,11,0
2850,1545622200378,406773,-1.303232935e+07,7368,16416,9332,3453,624413,34614,964,9,0
2860,1545622212223,406828,-1.302997684e+07,7662,15878,9244,3324,624841,34220,929,10,0
2870,1545622224542,406773,-1.303098093e+07,7689,15893,9316,3356,624725,34306,959,10,0
2880,1545622236405,406479,-1.303476426e+07,7992,15815,9344,3422,624353,34727,914,6,0
2890,1545622247668,406497,-1.303460455e+07,7736,16109,9306,3528,624270,34791,929,10,0
2900,1545622259801,406559,-1.303296174e+07,7766,15958,9312,3433,624449,34642,901,7,1
2910,1545622271999,406541,-1.303630236e+07,7881,16006,9546,3421,624140,34875,976,9,0
