iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
3110,29462,9178,9856,6609,1587,310,65,8,2,0,0,0,0
3120,29559,8981,9943,6618,1619,280,60,16,1,0,0,0,0
3130,29458,9124,9904,6655,1596,265,58,14,2,1,0,0,0
3140,29479,9099,9890,6699,1541,293,62,12,2,0,0,0,0
3150,29492,9137,9797,6688,1624,266,58,12,3,0,0,0,0
3160,29467,9123,9918,6620,1586,282,64,16,1,0,0,0,0
3170,29463,9185,9860,6565,1634,292,65,13,0,0,0,0,0
3180,29444,9182,9881,6601,1600,297,60,11,1,0,0,0,0
3190,29448,9160,9866,6666,1585,275,68,8,1,0,0,0,0
3200,29477,9133,9863,6639,1607,285,65,6,2,0,0,0,0
3210,29495,9150,9838,6610,1581,331,62,10,0,0,0,0,0
3220,29433,9151,9911,6632,1621,263,53,13,0,0,0,0,0
3230,29422,9194,9906,6602,1593,283,63,12,2,0,0,0,0
3240,29423,9175,9916,6629,1581,273,67,12,1,0,0,0,0
3250,29467,9126,9925,6574,1634,281,55,14,0,0,1,0,0
3260,29495,9088,9906,6634,1595,274,72,11,2,0,0,0,0
3270,29459,9154,9915,6559,1615,309,53,11,2,0,0,0,0
3280,29424,9210,9889,6573,1627,280,57,16,1,0,0,0,0
3290,29411,9236,9771,6766,1550,271,58,14,0,0,0,0,0
3300,29431,9174,9887,6659,1573,274,63,16,0,0,0,0,0
3310,29459,9123,9899,6668,1581,268,66,12,1,0,0,0,0
3320,29417,9195,9897,6637,1560,303,55,12,1,0,0,0,0
3330,29429,9167,9942,6597,1562,306,62,11,1,0,0,0,0
3340,29418,9160,9960,6582,1613,277,56,10,1,0,0,0,0
3350,29451,9139,9919,6605,1614,277,61,10,1,0,0,0,0
3360,29440,9188,9909,6544,1635,280,71,8,1,1,0,0,0
3370,29417,9183,9921,6617,1585,280,59,13,2,0,0,0,0
3380,29399,9196,9917,6645,1572,279,57,9,3,0,0,0,0
3390,29522,9051,9932,6590,1609,305,51,12,4,1,0,0,0
3400,29468,9110,9922,6632,1588,286,54,15,2,0,0,0,0
3410,29535,9048,9865,6661,1606,296,53,10,3,0,0,0,0
3420,29501,9133,9807,6647,1642,276,58,12,0,1,0,0,0
3430,29499,9145,9774,6703,1595,288,61,8,3,1,0,0,0
3440,29558,9029,9847,6661,1635,269,62,14,2,0,0,0,0
3450,29503,9148,9780,6681,1597,288,66,11,2,1,0,0,0
3460,29519,9076,9839,6696,1570,316,53,7,1,0,0,0,0
3470,29557,9005,9898,6641,1610,298,56,10,1,1,0,0,0
3480,29551,9014,9863,6718,1566,289,61,14,0,0,1,0,0
3490,29525,9082,9874,6603,1613,307,63,7,3,0,0,0,0
3500,29555,9042,9885,6600,1598,321,65,10,1,0,0,0,0
3510,29579,9018,9854,6626,1615,311,62,10,2,0,0,0,0
3520,29494,9054,9975,6613,1553,319,56,13,0,0,0,0,0
3530,29496,9075,9894,6688,1559,287,68,9,1,0,0,0,0
3540,29473,9109,9938,6600,1580,308,53,14,2,0,0,0,0
3550,29524,9095,9871,6578,1626,310,61,10,2,0,0,0,0
3560,29514,9121,9843,6606,1609,307,61,13,3,0,0,0,0
3570,29570,9002,9868,6675,1592,288,70,10,2,0,0,0,0
3580,29574,9013,9842,6680,1591,300,64,12,1,0,0,0,0
3590,29541,9069,9880,6592,1601,310,70,14,0,0,0,0,0
3600,29574,9007,9885,6635,1583,312,65,15,1,0,0,0,0
3610,29549,9035,9883,6637,1596,298,63,15,1,0,0,0,0
3620,29598,9014,9796,6664,1631,303,57,14,0,0,0,0,0
3630,29574,9025,9864,6605,1636,290,70,10,2,1,0,0,0
3640,29599,8995,9837,6654,1613,297,69,9,4,0,0,0,0
3650,29617,8975,9880,6559,1663,307,60,11,4,1,0,0,0
3660,29611,8964,9908,6528,1705,291,54,14,2,0,0,0,0
3670,29563,9021,9935,6525,1649,305,65,12,2,0,0,0,0
3680,29577,9015,9852,6653,1600,302,61,14,2,1,0,0,0
3690,29604,8991,9802,6695,1607,310,58,9,1,0,0,0,0
