iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2480,21792,6918,5370,2886,1477,700,352,139,62,35,9,3,0,0,0,0,0,0,0
2490,21912,6765,5331,2950,1479,716,322,168,61,23,10,5,1,0,0,0,0,0,0
2500,21824,6809,5411,2966,1437,714,330,154,59,28,8,2,1,0,0,0,0,0,0
2510,22025,6626,5320,2916,1528,737,357,142,56,21,7,7,1,0,0,0,0,0,0
2520,21947,6623,5423,2982,1493,707,316,147,69,23,7,5,1,0,0,0,0,0,0
2530,22004,6618,5399,2927,1483,728,298,166,77,28,11,2,2,0,0,0,0,0,0
2540,21876,6769,5388,2953,1485,669,341,155,66,24,12,3,1,0,1,0,0,0,0
2550,21814,6864,5339,2987,1439,721,330,149,59,30,9,1,0,1,0,0,0,0,0
2560,21863,6741,5480,2907,1436,736,322,152,69,24,11,1,1,0,0,0,0,0,0
2570,21874,6745,5395,2987,1452,709,330,159,52,23,11,4,2,0,0,0,0,0,0
2580,21921,6638,5429,2968,1503,744,316,130,57,24,11,1,1,0,0,0,0,0,0
2590,21910,6655,5394,3027,1500,701,327,137,56,21,13,1,0,0,0,1,0,0,0
2600,21870,6797,5360,2918,1519,705,313,147,76,27,8,3,0,0,0,0,0,0,0
2610,21958,6720,5272,2989,1514,707,341,136,61,26,12,4,2,1,0,0,0,0,0
2620,21929,6733,5402,2908,1472,685,326,164,70,40,11,2,0,1,0,0,0,0,0
2630,21822,6834,5428,2872,1472,741,325,151,60,28,6,3,1,0,0,0,0,0,0
2640,21853,6769,5423,2933,1485,698,327,160,54,28,10,3,0,0,0,0,0,0,0
2650,21874,6810,5354,2879,1560,704,304,147,62,28,11,6,2,1,1,0,0,0,0
2660,21858,6903,5264,2917,1491,708,333,158,69,27,8,6,1,0,0,0,0,0,0
2670,21935,6699,5403,2905,1501,723,313,157,62,28,11,4,1,1,0,0,0,0,0
2680,21926,6762,5309,2982,1447,716,352,131,72,28,9,6,3,0,0,0,0,0,0
2690,21905,6771,5328,2973,1434,758,316,155,62,25,9,6,0,1,0,0,0,0,0
2700,21838,6827,5340,3002,1462,698,320,146,70,19,13,7,1,0,0,0,0,0,0
2710,21858,6738,5466,2883,1513,742,307,135,58,26,10,7,0,0,0,0,0,0,0
2720,21812,6765,5472,2953,1467,711,316,158,63,19,4,2,0,1,0,0,0,0,0
2730,21816,6766,5497,2902,1490,703,327,149,55,27,7,4,0,0,0,0,0,0,0
2740,21915,6710,5430,2890,1514,704,321,147,62,35,9,5,0,0,0,0,1,0,0
