iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-IREG,aggDist-SESSO,aggDist-ANASCI,aggDist-STUDIO,aggDist-PAR,aggDist-STACIV,aggDist-PERC,aggDist-CFDIC,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6,recDistortion-7,recDistortion-8
1840,1540808454211,17858,-5.752010599e+05,7447,599,125,296,42,147,298,91,31008,8426,308,1,0,0,0,0,0
1850,1540808458635,17858,-5.762359474e+05,7538,670,131,319,49,147,314,72,30822,8606,311,4,0,0,0,0,0
1860,1540808463198,17820,-5.762200990e+05,7436,624,152,273,56,146,361,91,30924,8504,310,5,0,0,0,0,0
1870,1540808467509,17809,-5.759157844e+05,7372,608,153,295,67,158,337,73,30988,8448,306,1,0,0,0,0,0
1880,1540808472605,17867,-5.748878567e+05,7196,608,128,298,75,113,337,95,31160,8322,255,6,0,0,0,0,0
1890,1540808476581,17902,-5.749446044e+05,7277,614,153,269,57,120,388,54,31133,8291,316,3,0,0,0,0,0
1900,1540808482989,17804,-5.755910642e+05,7336,588,164,273,75,121,327,108,31047,8404,288,4,0,0,0,0,0
1910,1540808487052,17828,-5.751515805e+05,7371,535,137,276,57,154,317,93,31088,8373,279,3,0,0,0,0,0
1920,1540808492342,17851,-5.759858635e+05,7472,586,143,272,61,142,328,106,30932,8519,286,5,1,0,0,0,0
1930,1540808496627,17878,-5.751056095e+05,7389,564,146,257,57,129,343,93,31050,8412,277,4,0,0,0,0,0
1940,1540808501859,17838,-5.745287064e+05,7469,507,131,260,55,120,315,63,31097,8377,264,5,0,0,0,0,0
1950,1540808506103,17900,-5.743169673e+05,7402,602,115,275,58,133,313,71,31066,8386,290,1,0,0,0,0,0
1960,1540808511491,17752,-5.758327189e+05,7399,595,135,351,45,153,333,84,30921,8549,273,0,0,0,0,0,0
1970,1540808515578,17880,-5.757495615e+05,7461,570,111,324,60,143,346,89,30934,8517,289,3,0,0,0,0,0
1980,1540808520767,17793,-5.760755327e+05,7484,611,137,349,47,153,259,80,30914,8542,283,4,0,0,0,0,0
1990,1540808524744,17835,-5.767671717e+05,7559,605,149,355,55,168,280,96,30808,8608,322,5,0,0,0,0,0
